#不要报考太原师范学院#顶上去，坚持到高考结束 ?
"#太原师范学院回应 未发生暴力行为#  #正义网友与太原师范王芝芝通话录音#  #太原师范学院#  #太原师范学院撤热搜#  #校园霸凌#  #2019年高考注意事项#,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺 ?  展开全文,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺利毕业。不知道学校做出了哪些让步和承诺……3、芝芝坚持依法维权，进行诉讼。律师没明说，现在只有芝芝坚持需要律师，而家长想接受学校的条件，不需要律师了。这件事是离不开律师的法律维权的，家长特别容易被忽悠。4、现在一些护校蛆开始变本加厉，各种造谣生事了。表现出人性之恶，有些女大学生出口成脏，令人震惊之余，怀疑这所学校到底怎么了？5、这几天在网上支持芝芝，就是为了反对校园欺凌，就是为了社会的公平正义，我就是不能容忍施暴者趾高气扬，受辱者忍气吞声，这不是我们这个时代的正义，这是蒙羞。#太原师范回应 未发生暴力行为##太原师范回应女生遭校园暴力##起侮辱性绰号也属于欺凌##太原师范回应女生遭校园暴力# 收起全文"
#太原师范回应 未发生暴力行为#应该让太师的党委书记，校长，各位中层，一起来体验一下取外号，拍果照，这种都是误会的事儿。我们就是想问问，现在反腐打黑风头这么紧，太原师范的领导们心里很舒服么？澄清事件一点态度也没有@太原师范学院青年之声 @太原师范学院 @中央电视台 ?
"神经纤维瘤（NF）是一种由基因引起的神经系统肿瘤。根据基因的序列变化不同，患者的肿瘤的恶性程度不同。另外，除表现为神经纤维瘤以外，患者还在皮肤、骨胳、心血管系统方面出现异常。因此，通过基于肿瘤名称或外在表现的基因检测，常常会失去很多关键信息。基于更广范围、更深度的基因解码信息分析会 ?  展开全文,神经纤维瘤（NF）是一种由基因引起的神经系统肿瘤。根据基因的序列变化不同，患者的肿瘤的恶性程度不同。另外，除表现为神经纤维瘤以外，患者还在皮肤、骨胳、心血管系统方面出现异常。因此，通过基于肿瘤名称或外在表现的基因检测，常常会失去很多关键信息。基于更广范围、更深度的基因解码信息分析会得到更为准确的致病原因分析。网页链接健康身体就需基因解码！佳学基因，基因检测中的No.1!北京·佳学基因解码基因检测基因矫正 晋中·太原理工大学明向校区 晋中·太原师范学院 太原·太原理工大学虎峪校区 #太原·太原理工大学迎西校区[地点]# 太原·太原武宿国际机场2号航站楼(出发) 太原·太原工业学院 收起全文"
#太原师范学院#这件事热度降下去了叭 ?
"//@橘里橘气的栗子:#正义网友与太原师范王芝芝通话录音# #太原师范学院# #正义网友与太原师范王芝芝通话# #太原师范回应 未发生暴力行为# #李梓瑶#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#太原师范学院#到底有什么优越感导致如此心态。整齐。济南 ?
"#太原师范学院# 太原师范这个事，现在还有人关注吗？后续如何？已经“随风而去”？“大事化小，小事化了”？,【“起侮辱性绰号”也属欺凌！严惩涉校违法犯罪！】近年校园欺凌事件时有发生，对于校园欺凌你了解多少？不管哪个年龄阶段，如果遭受校园欺凌，应该勇敢站出来，及时报警！法律给你撑腰！！！戳↓↓@晋中公安   @山西公安  #瑶瑶最爱社会摇##太原师范学院# ?"
"#太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为#呵呵，这就是所谓的公平公道？事情出来了，当事人要我们等，等学校的一个公正的决定，就是这样的吗？？发生暴力行为不存在拍摄照片，那后来传到QQ群里的是什么？造出来的吗？！而且还说只是传到寝室群，你要是自己承认自己学校的寝室住着 ?  展开全文,#太原师范回应 未发生暴力行为##太原师范回应 未发生暴力行为#呵呵，这就是所谓的公平公道？事情出来了，当事人要我们等，等学校的一个公正的决定，就是这样的吗？？发生暴力行为不存在拍摄照片，那后来传到QQ群里的是什么？造出来的吗？！而且还说只是传到寝室群，你要是自己承认自己学校的寝室住着一群福利群的恶心人，我也不反驳你，闹着玩叫别人潘金莲？我也跟你闹着玩呢，那我是不是可以叫你潘金莲，还顺带问候一下你的父母，祖宗十八代？连着三条微博，换了三个手机，请问是学校出钱给换的吗？还有，是觉得我们都是傻子好骗吗？当事人无缘无故发表长文来污蔑别人，随后你们一问就变成从校园霸凌变成了嬉戏打闹？前一篇微博说要追究到底，下一篇文章是认错？施暴者是什么态度？你要是有本事就来，我长这么大还没怕过谁？！这就是施暴者的态度，没有一丝的认错意思，我就想问施暴者家里是多有权势，能让你这么戳瞎自己眼睛说昧良心的话，你们要是想黑吃黑，不好意思，我们不瞎如果这就是学校的处理方式，我觉得这个学校也没有开下去的必要了，就这种野鸡大学还配叫师范？就这种学校出来的人，还要做老师？集思缜密，恐怖至极，太原师范一生黑！@太原师范学院- 长沙 收起全文"
"继续关注//@橘里橘气的栗子:#正义网友与太原师范王芝芝通话录音# #太原师范学院# #太原师范回应 未发生暴力行为#,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺 ?  展开全文,最新进展，提炼一下主题：1、芝芝心理健康出现问题，家长希望孩子回到过去状态。心病还须心药医，这件事如果不能公平正义的解决，难以治好心理障碍。这是孩子一辈子的事，家长还得慎重考虑呀。2、家长希望芝芝接受学校开出的条件，不想诉讼，可怜天下父母心，在人屋檐下，不敢不低头，家长希望能顺利毕业。不知道学校做出了哪些让步和承诺……3、芝芝坚持依法维权，进行诉讼。律师没明说，现在只有芝芝坚持需要律师，而家长想接受学校的条件，不需要律师了。这件事是离不开律师的法律维权的，家长特别容易被忽悠。4、现在一些护校蛆开始变本加厉，各种造谣生事了。表现出人性之恶，有些女大学生出口成脏，令人震惊之余，怀疑这所学校到底怎么了？5、这几天在网上支持芝芝，就是为了反对校园欺凌，就是为了社会的公平正义，我就是不能容忍施暴者趾高气扬，受辱者忍气吞声，这不是我们这个时代的正义，这是蒙羞。#太原师范回应 未发生暴力行为##太原师范回应女生遭校园暴力##起侮辱性绰号也属于欺凌##太原师范回应女生遭校园暴力# 收起全文"
日常打卡，等待最后警方发言再散#太原师范学院##正义网友与太原师范王芝芝通话录音##太原师范学院##正义网友与太原师范王芝芝通话##太原师范回应 未发生暴力行为##李梓瑶# ?
"心疼，坚持住啊！#正义网友与太原师范王芝芝通话录音# #太原师范学院# #正义网友与太原师范王芝芝通话# #太原师范回应 未发生暴力行为# #李梓瑶#,抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：网页链接 ?"
#太原师范学院#真的是，打黑除恶时期，这叫顶风作案？？？而且某些机关毫无作为#太原师范回应 未发生暴力行为# ?
"太原师范学院什么垃圾学校！热搜不能掉,#太原师范回应 未发生暴力行为#这件事曾经出现过的话题，截图以慰藉。不知道这个tag什么时候也会这样直接被消失。#太原师范回应女生遭校园暴力# 这个话题有什么问题？连回应都不行了？相关的法律法规和政策是什么依据？感觉智商被侮辱，第一次不默默吃瓜。 ?"
"#太原师范学院# #太原师范回应 未发生暴力行为# #正义网友与太原师范王芝芝通话录音#,太原师范学院的回应错在哪了？1、拽衣服的行为有吧？啥叫恶意？当事人反感而不停止就是恶意。表示不满，还不是恶意？承认有拽衣服行为，而且有赤裸身体的图片，这还不算欺凌？学校领导都是受虐狂吗？2、发本宿舍QQ群，就可以吗？而且这是学校公然撒谎，明明是发到QQ空间里的视频，算什么？学校不懂 ?  展开全文,太原师范学院的回应错在哪了？1、拽衣服的行为有吧？啥叫恶意？当事人反感而不停止就是恶意。表示不满，还不是恶意？承认有拽衣服行为，而且有赤裸身体的图片，这还不算欺凌？学校领导都是受虐狂吗？2、发本宿舍QQ群，就可以吗？而且这是学校公然撒谎，明明是发到QQ空间里的视频，算什么？学校不懂得什么叫小群，什么叫QQ空间吗？这也是严重的传播呀，还想怎么传播？这已经涉嫌违法犯罪了。3、叫潘金莲属实吧？这就是侮辱性绰号，也是欺凌。警察叔叔明确的说，侮辱性绰号就是欺凌，学校为什么回避了这个问题？选择性失明？4、学校再解释一下，三星手机和搜狗高速浏览器那两篇微博谁发的？这也是重要问题。5、这些照片不都是王同学本人，看来学校被欺凌的还有其他人呀，如果不是被偷拍，而是明目张胆拍的，这是霸凌的直接证据呀。而且被欺凌的不止一人呀。6、我发现这个学校领导脑子有问题，根本不懂回应，嘴里说学校没责任没问题，但所列举的事实都证明了学校有问题。有点高级黑。7、建议王女生以及其他被霸凌者直接报警解决。学校已经不可信任，已经完全背离了学高为师、身正师范的师范学院的宗旨，还有这个学校有些学生三观不正。#太原师范回应女生遭校园暴力#@王芝芝会有狗的 #起侮辱性绰号也属于欺凌#！#太原师范回应 未发生暴力行为##太原师范学院##正义网友与太原师范王芝芝通话录音#  如何看待太原师范学院校园暴力事件和学校的态度？ 收起全文"
